profile_pic,username_num_length,fullname_words,fullname_num_length,name_eq_username,description_length,external_url,private,num_posts,num_followers,num_follows,fake,followers_following_ratio,profile_pic_outlier_iqr,profile_pic_outlier_p,profile_pic_orig,profile_pic_capped,username_num_length_outlier_iqr,username_num_length_outlier_p,username_num_length_orig,username_num_length_capped,fullname_words_outlier_iqr,fullname_words_outlier_p,fullname_words_orig,fullname_words_capped,fullname_num_length_outlier_iqr,fullname_num_length_outlier_p,fullname_num_length_orig,fullname_num_length_capped,name_eq_username_outlier_iqr,name_eq_username_outlier_p,name_eq_username_orig,name_eq_username_capped,description_length_outlier_iqr,description_length_outlier_p,description_length_orig,description_length_capped,external_url_outlier_iqr,external_url_outlier_p,external_url_orig,external_url_capped,private_outlier_iqr,private_outlier_p,private_orig,private_capped,num_posts_outlier_iqr,num_posts_outlier_p,num_posts_orig,num_posts_capped,num_followers_outlier_iqr,num_followers_outlier_p,num_followers_orig,num_followers_capped,num_follows_outlier_iqr,num_follows_outlier_p,num_follows_orig,num_follows_capped,fake_outlier_iqr,fake_outlier_p,fake_orig,fake_capped,followers_following_ratio_outlier_iqr,followers_following_ratio_outlier_p,followers_following_ratio_orig,followers_following_ratio_capped,log_num_followers,log_num_posts,followers_following_ratio_clipped,profile_pic_capped_std,username_num_length_capped_std,fullname_words_capped_std,fullname_num_length_capped_std,name_eq_username_capped_std,description_length_capped_std,external_url_capped_std,private_capped_std,num_posts_capped_std,num_followers_capped_std,num_follows_capped_std,fake_capped_std,followers_following_ratio_capped_std,log_num_followers_std,log_num_posts_std,followers_following_ratio_clipped_std
1,0.27,0,0.0,0,53,0,0,32,1000,955,0,1.0460251046025104,0,0,1,1,0,0,0.27,0.27,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,32,32.0,0,0,1000,1000.0,0,0,955,955.0,0,0,0,0,0,0,1.0460251046025104,1.0460251046025104,6.90875477931522,3.4965075614664802,1.0460251046025104,0.8195619023612999,0.5462401520490365,-1.5792912829544303,-0.3689423831300889,0.0,0.9734752104201476,-0.22844813894744725,-0.5431402167040248,-0.2955915181173176,-0.14932077417439782,0.7254453985189853,-1.0,-0.13848324516336138,0.7317342385169524,0.439526659824373,-0.07074272534606046
1,0.0,2,0.0,0,44,0,0,286,2740,533,0,5.131086142322097,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,1,0,286,286.0,1,0,2740,2740.0,0,0,533,533.0,0,0,0,0,1,0,5.131086142322097,5.131086142322097,7.916078096302786,5.659482215759621,5.131086142322097,0.8195619023612999,-0.8622045207286865,1.0740878886759972,-0.3689423831300889,0.0,0.7003646699588785,-0.22844813894744725,-0.5431402167040248,1.093939389068663,-0.12788592148041794,0.09761588493114177,-1.0,-0.13334424737327533,1.1533880919245403,1.4521986376096592,-0.07036410519281854
1,0.1,2,0.0,0,0,0,1,13,159,98,0,1.606060606060606,0,0,1,1,0,0,0.1,0.1,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,13,13.0,0,0,159,159.0,0,0,98,98.0,0,0,0,0,0,0,1.606060606060606,1.606060606060606,5.075173815233827,2.6390573296152584,1.606060606060606,0.8195619023612999,-0.34055834562582615,1.0740878886759972,-0.3689423831300889,0.0,-0.6348424167406594,-0.22844813894744725,1.8411451946393675,-0.3995328064501272,-0.1596809529764881,-0.5495543482695974,-1.0,-0.1377787217357336,-0.035781479625868376,0.03808144620720548,-0.07069081896683502
1,0.0,1,0.0,0,82,0,0,679,414,651,0,0.6349693251533742,0,0,1,1,0,0,0.0,0.0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,1,0,82,82,0,0,0,0,0,0,0,0,1,0,679,679.0,0,0,414,414.0,0,0,651,651.0,0,0,0,0,0,0,0.6349693251533742,0.6349693251533742,6.028278520230698,6.522092798170152,0.6349693251533742,0.8195619023612999,-0.8622045207286865,-0.2526016971392166,-0.3689423831300889,0.0,1.8534980630175704,-0.22844813894744725,-0.5431402167040248,3.2438828793209877,-0.15653963835754278,0.2731701091097331,-1.0,-0.13900035242875744,0.36317709185311775,1.8560598492120959,-0.07078082367574734
1,0.0,2,0.0,0,0,0,1,6,151,126,0,1.188976377952756,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,6,6.0,0,0,151,151.0,0,0,126,126.0,0,0,0,0,0,0,1.188976377952756,1.188976377952756,5.0238805208462765,1.9459101490553132,1.188976377952756,0.8195619023612999,-0.8622045207286865,1.0740878886759972,-0.3689423831300889,0.0,-0.6348424167406594,-0.22844813894744725,1.8411451946393675,-0.43782696530958337,-0.15977950402335697,-0.5078974137187452,-1.0,-0.1383034127762676,-0.05725225754567235,-0.28643956694508466,-0.07072947603778276
1,0.0,4,0.0,0,81,1,0,344,669987,150,0,4437.0,0,0,1,1,0,0,0.0,0.0,1,0,4,4,0,0,0.0,0.0,0,0,0,0,1,0,81,81,1,0,1,1,0,0,0,0,1,0,344,344.0,1,0,669987,669987.0,0,0,150,150.0,0,0,0,0,1,0,4437.0,4437.0,13.415015080758993,5.84354441703136,4437.0,0.8195619023612999,-0.8622045207286865,3.727467060306425,-0.3689423831300889,0.0,1.8231524474107625,4.37736111402528,-0.5431402167040248,1.4112338481898714,8.091850374783949,-0.4721914698180148,-1.0,5.441937087218388,3.4551793143053104,1.5383737728695215,0.340399619466156
1,0.0,2,0.0,0,50,0,0,16,122,177,0,0.6853932584269663,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,16,16.0,0,0,122,122.0,0,0,177,177.0,0,0,0,0,0,0,0.6853932584269663,0.6853932584269663,4.812184355372417,2.833213344056216,0.6853932584269663,0.8195619023612999,-0.8622045207286865,1.0740878886759972,-0.3689423831300889,0.0,0.8824383635997246,-0.22844813894744725,-0.5431402167040248,-0.38312102408178883,-0.16013675156825663,-0.432022282929693,-1.0,-0.1389369192317335,-0.14586581628925996,0.1289823519356119,-0.07077615017952125
1,0.0,2,0.0,0,0,0,0,33,1078,76,0,14.0,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33.0,0,0,1078,1078.0,0,0,76,76.0,0,0,0,0,1,0,14.0,14.0,6.983789965258135,3.5263605246161616,14.0,0.8195619023612999,-0.8622045207286865,1.0740878886759972,-0.3689423831300889,0.0,-0.6348424167406594,-0.22844813894744725,-0.5431402167040248,-0.29012092399453815,-0.1483599014674263,-0.582284796845267,-1.0,-0.1221871732697968,0.7631430967856181,0.4535033650879021,-0.06954209800788844
1,0.0,0,0.0,0,71,0,0,72,1824,2713,0,0.6720707442888725,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,72,72.0,1,0,1824,1824.0,1,0,2713,2713.0,0,0,0,0,0,0,0.6720707442888725,0.6720707442888725,7.509335266016592,4.290459441148391,0.6720707442888725,0.8195619023612999,-0.8622045207286865,-1.5792912829544303,-0.3689423831300889,0.0,1.519696291342686,-0.22844813894744725,-0.5431402167040248,-0.07676775320613954,-0.1391700163469039,3.34090578924749,-1.0,-0.13895367892518287,0.9831302622448176,0.8112429065533838,-0.07077738496458272
1,0.0,2,0.0,0,40,1,0,213,12945,813,0,15.902948402948402,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,40,40,1,0,1,1,0,0,0,0,1,0,213,213.0,1,0,12945,12945.0,0,0,813,813.0,0,0,0,0,1,0,15.902948402948402,15.902948402948402,9.468542139105455,5.365976015021851,15.902948402948402,0.8195619023612999,-0.8622045207286865,1.0740878886759972,-0.3689423831300889,0.0,0.5789822075316478,4.37736111402528,-0.5431402167040248,0.6945860181057631,-0.002171742318311773,0.5141852304396636,-1.0,-0.11979326836920842,1.8032315283716174,1.3147834791826198,-0.0693657249722635
